Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
When AI meets AI: analyzing AI bills using AI,AI & SOCIETY,,,,10.1007/s00146-025-02466-9,Heonuk Ha,2025,https://link.springer.com/article/10.1007/s00146-025-02466-9,Article
"Uncovering structural relationships between AI literacy, AI ethics, AI problem-solving, and self-regulated learning",Discover Computing,,,,10.1007/s10791-026-10042-y,Senad BećirovićMichael AugustínBoris MattošJán Dančo,2026,https://link.springer.com/article/10.1007/s10791-026-10042-y,Article
Overview of AI Map β- Overview of AI Technologies and AI Problems: for Beginners and Practitioners in AI Research,New Generation Computing,,,,10.1007/s00354-025-00299-0,Fujio TsutsumiKoji MorikawaRyutaro IchiseKen UenoTakeshi YoshiokaTakao Tomono,2025,https://link.springer.com/article/10.1007/s00354-025-00299-0,Article
Adapting To the AI Age with Flexible Minds: Exploring the Mediating Role of AI Self-efficacy and AI Acceptance Between Cognitive Flexibility and AI Anxiety,Journal of Technology in Behavioral Science,,,,10.1007/s41347-025-00582-3,Bilal KayaAhmet Keskin,2026,https://link.springer.com/article/10.1007/s41347-025-00582-3,Article
Remembering with AI: From Distributed Memory to AI-Curated and Human-AI Co-Memory,Review of Philosophy and Psychology,,,,10.1007/s13164-026-00815-1,Pii Telakivi,2026,https://link.springer.com/article/10.1007/s13164-026-00815-1,Article
Assessing Teachers’ Readiness for AI Integration: Insights from AI-Specific TPACK and Attitudes Toward AI,The Asia-Pacific Education Researcher,,,,10.1007/s40299-026-01093-2,Sudi Dul AjiNurul AinAkhmad ZainiMuhammad Nur HudhaKadek Dwi Hendratma GunawanHestiningtyas Yuli  PratiwiAndi Wahyudi,2026,https://link.springer.com/article/10.1007/s40299-026-01093-2,Article
"Modeling the relationships between secondary school students’ AI learning attitude, AI literacy and AI career interest",Education and Information Technologies,,,,10.1007/s10639-025-13715-1,Di ZhangHongwu YangYanshan HeWeitong Guo,2025,https://link.springer.com/article/10.1007/s10639-025-13715-1,Article
"AI, journalism, and critical AI literacy: exploring journalists’ perspectives on AI and responsible reporting",AI & SOCIETY,,,,10.1007/s00146-025-02407-6,Tomasz HollanekDorian PetersEleanor DrageRaphael Hernandes,2025,https://link.springer.com/article/10.1007/s00146-025-02407-6,Article
Hallucinating with AI: Distributed Delusions and “AI Psychosis”,Philosophy & Technology,,,,10.1007/s13347-026-01034-3,Lucy Osler,2026,https://link.springer.com/article/10.1007/s13347-026-01034-3,Article
"Efficacy of AI-Text Detection Tools in Distinguishing Student-Produced, AI-Edited, and AI-Generated Essays","Technology, Knowledge and Learning",,,,10.1007/s10758-025-09884-0,Jessie S. BarrotMa. Rita R. Aranda,2025,https://link.springer.com/article/10.1007/s10758-025-09884-0,Article
Ethical perspectives on AI Agents and Agentic AI,AI and Ethics,,,,10.1007/s43681-026-01027-0,Michael HahnMax TretterPeter Dabrock,2026,https://link.springer.com/article/10.1007/s43681-026-01027-0,Article
